f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,work_type,target
0.17407422,0.3160878,0.20296147,0.3189547,0.6846297,0.7402253,1.0,0.31103516,0.268965,0.22354375,0.60334176,0.37938356,0.65,0.55621713,0.60239553,0.5858228,0.58147854,0.4392355,0.4133523,0.57019293,0.91607296,0.6468625,0.73810464,0.53289104,0.47102666,0.5288778,0.60158813,0.36316285,0.26044378,0.19276485,0.6997175,0.07466087,0.49733937,1.0,0.75888175,0.0,0.3,0.30277413,0.32062462,0.50036347,0.43948513,0.33610162,0.0,0.0,0.3459163,0.77233195,0.36117008,0.6056445,0.38990524,1.0,1.0,0.30074853,0.5063849,1.0,0.35018253,0.7,0.43386036,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28536534,1.0,0.12658758,0.0,0.0,0.33333334,0.0,0.0,0.05633824,0.0,0.023463294,0.0,0.11321065,0.0,0.0,0.0,0.0,0.0,0.12687556,0.45777273,0.0,0.3618337,0.0,0.38242024,0.0,0.5237857,0.0,1.0,0.50703543,platform_worker,0.46587726
0.34011552,0.6540026,0.5982066,0.52992713,0.8607264,0.8043103,1.0,0.5074991,0.33440188,0.34820426,0.7560216,0.14570138,0.75,0.8388949,0.64440215,0.7099756,0.73109084,0.8807698,0.7888931,0.59633166,0.95040506,0.92060846,0.8600757,0.64678156,0.67718434,0.62248075,0.68245786,0.45208904,0.07979654,0.05512185,0.8485924,0.068335116,0.56153375,1.0,0.9781072,1.0,0.5,0.25752705,0.048402753,0.39915496,0.26925355,0.28879976,0.0,0.0,0.30830988,0.8671298,0.49954706,0.8283883,0.23248164,1.0,1.0,0.63814706,0.6772927,1.0,0.6123923,0.8,0.4345427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5649816,1.0,0.24780966,1.0,1.0,1.0,0.0,1.0,0.26561615,1.0,0.40278217,1.0,0.2185484,0.0,0.0,0.0,0.0,0.0,0.13923843,0.3761192,0.0,0.4099529,1.0,0.6809026,1.0,0.6209339,0.27411407,0.0,0.74224484,freelancer,0.640782
0.78764594,0.56812364,0.57390666,0.5451206,0.7642651,0.83390844,0.0,0.48214188,0.27179298,0.39532682,0.6585341,0.38854632,0.7,0.5819389,0.47622874,0.5364,0.5315226,0.38843918,0.43088803,0.55741554,1.0,0.6785846,0.6388465,0.4098123,0.33610874,0.53802174,0.4628973,0.48665684,0.22518674,0.0,0.6409306,0.038260423,0.4387798,1.0,1.0,0.0,0.5,0.35790592,0.29495272,0.4150353,0.29594406,0.2828606,1.0,0.0,0.27597684,0.9273813,0.44755626,0.7689278,0.1933835,1.0,1.0,0.6388233,0.6337812,0.0,0.46490762,0.7,0.30441755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54378855,1.0,0.38624793,0.0,1.0,0.6666667,1.0,1.0,0.4022048,0.0,0.015682485,0.0,0.54262227,0.0,0.0,0.0,0.0,0.0,0.24131273,0.48302725,1.0,0.52440363,1.0,0.53166544,1.0,0.39283052,0.0,0.0,0.68849754,tradesperson,0.68560404
0.57021123,0.5544782,0.5344556,0.47575194,0.7393846,0.8801764,1.0,0.52162796,0.49827403,0.31081632,0.7671655,0.34909102,0.6,0.5233283,0.46367654,0.48779985,0.49160156,0.3671952,0.36314896,0.4648739,1.0,0.64458376,0.5108023,0.39176267,0.5327991,0.46674925,0.4930227,0.20123622,0.11159709,0.13882217,0.6363948,0.02271487,0.30798137,0.0,1.0,0.0,0.5,0.4879691,0.42374068,0.63899577,0.54803294,0.34995565,1.0,0.0,0.34650007,0.7591413,0.39562267,0.6942233,0.51181865,0.0,1.0,0.43065685,0.32817164,1.0,0.27825016,0.6,0.36151886,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38075984,1.0,0.4377821,0.0,1.0,0.6666667,0.0,0.0,0.010023386,1.0,0.4876048,0.0,0.036399607,0.0,0.0,0.0,0.0,0.0,0.08310582,0.40504786,0.0,0.24544434,1.0,0.41164038,1.0,0.36061773,0.46567935,0.0,0.5995151,vendor,0.608909
0.3369382,0.7563499,0.42979166,0.4691077,0.81631476,0.9085083,0.0,0.6562527,0.44229797,0.3425266,0.8477023,0.38429272,0.6,0.5183041,0.35541832,0.4746623,0.44946158,0.46695977,0.5026043,0.26852503,0.8439216,0.57717144,0.5993188,0.43116635,0.4456063,0.33936745,0.46025124,0.37243572,0.20020476,0.30555752,0.673787,0.19204386,0.28423488,1.0,0.72756803,0.0,0.7,0.51424694,0.38501883,0.5203786,0.51035774,0.47658673,1.0,1.0,0.37019342,0.7027283,0.39725706,0.5861824,0.35891402,1.0,1.0,0.77447915,0.8202672,1.0,0.5703094,0.6,0.41094503,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.72464097,0.0,0.0,1.0,1.0,0.6666667,1.0,1.0,0.5412423,1.0,0.5725492,0.0,0.6183748,0.0,0.0,0.0,0.0,0.0,0.5226661,0.5484199,0.0,0.6818571,1.0,0.7237797,1.0,0.3072751,0.5280512,1.0,0.71441585,vendor,0.68980837
0.3697813,0.26232067,0.092132166,0.18740825,0.6221907,0.75677025,0.0,0.36023533,0.5068467,0.115517765,0.58779013,0.32679206,0.75,0.6905626,0.7572958,0.73090786,0.7262554,0.5850789,0.6886879,0.6331292,0.776799,0.6830233,0.7315756,0.62353116,0.5301932,0.6955561,0.64077216,0.318148,0.36103442,0.19833243,0.8265023,0.19756813,0.58400065,0.0,0.5974257,0.0,0.7,0.43917206,0.43925685,0.40275827,0.32686186,0.21161345,0.0,1.0,0.28092632,0.80090314,0.36705002,0.76980096,0.29921037,1.0,1.0,0.6749676,0.89547193,1.0,0.7098467,0.8,0.35732055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67056394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15800813,0.0,0.060084607,1.0,0.36372957,0.0,1.0,1.0,0.0,0.0,0.2926699,0.4843686,1.0,0.51492804,1.0,0.7429799,0.0,0.5245854,0.014441918,0.0,0.6337249,freelancer,0.5217386
0.70422643,0.48514456,0.6197031,0.3396975,0.8577606,0.877479,1.0,0.6050077,0.4705588,0.45245963,0.78506434,0.45853427,0.65,0.374675,0.507769,0.5738461,0.48543003,0.54970497,0.29316726,0.28410712,0.7625882,0.51453346,0.5809302,0.409752,0.23683858,0.39798886,0.44737592,0.22634637,0.37815028,0.18870294,0.6043032,0.26066816,0.3900911,0.0,0.6992766,0.0,0.3,0.6271155,0.5145226,0.6487365,0.5470272,0.44207847,0.0,0.0,0.44476023,0.72320867,0.2698596,0.55930007,0.45178312,1.0,1.0,0.3228352,0.36714733,1.0,0.40323004,0.7,0.3634185,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23637475,1.0,0.39989272,1.0,1.0,1.0,1.0,1.0,0.35589376,1.0,0.5687346,0.0,0.28618127,0.0,0.0,0.0,0.0,0.0,0.13964319,0.4827426,1.0,0.430199,0.0,0.19808766,1.0,0.37772498,0.42511442,0.0,0.6088616,platform_worker,0.56442255
0.24547298,0.26940992,0.29519236,0.30092028,0.59742,0.78543735,0.0,0.22016755,0.4425254,0.0,0.6675793,0.67302394,0.7,0.62936974,0.76307714,0.64774036,0.6800624,0.63876283,0.5571125,0.6864193,0.95064723,0.7440778,0.7895362,0.5641204,0.47601077,0.66268146,0.73195374,0.39489946,0.09638023,0.08544974,0.8220337,0.016860837,0.49782705,0.0,0.89670527,0.0,0.5,0.8476934,0.72149587,0.63745743,0.5507413,0.72960776,0.0,0.0,0.5119163,0.7055672,0.15902053,0.484549,0.79246145,1.0,1.0,0.57195103,0.5516792,1.0,0.5283889,0.7,0.4982484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5003659,1.0,0.29226446,0.0,0.0,0.33333334,1.0,1.0,0.3514136,1.0,0.4381539,0.0,0.48979148,1.0,0.0,1.0,0.0,1.0,0.355616,0.58122677,1.0,0.58757895,1.0,0.39255086,0.0,0.4633617,0.3688138,0.0,0.54913425,tradesperson,0.6668173
0.41041946,0.33458894,0.4626108,0.29826924,0.6724049,0.73131144,1.0,0.26472893,0.34470665,0.31836036,0.64847296,0.27842122,0.65,0.55858696,0.54451025,0.5773257,0.56014097,0.61068,0.62458813,0.51305044,0.9598498,0.73662144,0.6372708,0.51765573,0.5555941,0.60445887,0.5666811,0.3244531,0.262621,0.27181613,0.78731745,0.21555685,0.48317602,1.0,0.73574245,0.0,0.5,0.21628214,0.22423866,0.37848836,0.23016845,0.20286046,0.0,0.0,0.26639122,0.9836541,0.4288737,0.86948115,0.18842909,1.0,1.0,0.5799451,0.61662877,1.0,0.4875269,0.7,0.37302524,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5059792,0.0,0.0,0.0,1.0,0.33333334,1.0,0.0,0.03820541,1.0,0.34739324,0.0,0.19738092,0.0,0.0,0.0,0.0,0.0,0.14407793,0.50252205,0.0,0.25604227,0.0,0.4335023,1.0,0.43688473,0.2833041,0.0,0.5724142,platform_worker,0.45790923
0.5564042,0.52586204,0.61178714,0.5934476,0.8333041,0.8438362,1.0,0.63277686,0.5029409,0.47537073,0.71515286,0.40495935,0.65,0.6891657,0.71438456,0.7227029,0.7087511,0.4150357,0.6536037,0.49669355,0.7478211,0.61168665,0.76316535,0.40724835,0.5564084,0.7120659,0.5802602,0.31523806,0.2936285,0.37363607,0.67090416,0.3159696,0.52694315,0.0,0.64576286,0.0,0.3,0.48775235,0.31008846,0.5728357,0.49354824,0.3441383,1.0,0.0,0.35786867,0.87476546,0.43399552,0.6936855,0.36808354,1.0,1.0,0.825665,0.79356563,1.0,0.8442611,0.7,0.3856682,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.62455064,1.0,0.46366784,0.0,1.0,0.6666667,1.0,1.0,0.43406868,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1565957,0.33986324,0.0,0.2755171,1.0,0.68346924,1.0,0.44525692,0.039772995,1.0,0.8113426,platform_worker,0.58585465
